Species,Ref,Median.Latitude,Median.Longitude,Capture.Year,Julian.Median,Julian.Range,N.sample,Length.mm.TL,p.Water,p.Protein,p.Lipid,p.Ash,EnergyDensity.kJ/g,L_calc,EDtype
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,4,54.5,80.09066667,,,2.84,3.8,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,306,90,20,134.5,80.09066667,,,2.84,3.8,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,23,109.5,80.09066667,,,2.84,3.8,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,306,90,50,109.5,79.824,,,2.84,3.9,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,214,90,21,134.5,79.824,,,2.84,3.9,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,306,90,20,174.5,79.824,,,2.84,3.9,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,50,174.5,79.824,,,2.84,3.9,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,40,69.5,79.55733333,,,2.84,4,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,40,54.5,79.55733333,,,2.84,4,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,2,89.5,79.55733333,,,2.84,4,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,122,90,35,224.5,79.55733333,,,2.84,4,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,33,5,20,134.5,79.55733333,,,2.84,4,0,paper
Merlangius merlangus,"Pedersen, J. (2001) Seasonal variations in the energy density of fishes in the North Sea. Journal of Fish Biology, 59, 380_389.",57,3,,33,5,20,109.5,79.29066667,,,2.84,4.1,0,paper
