SpecCode	Species	Weight
69368	Inia geoffrensis	160000
68883	Kogia breviceps	400000
68884	Kogia sima	210000
69382	Lagenodelphis hosei	210000
69384	Lagenorhynchus acutus	235000
69387	Lagenorhynchus australis	115000
69385	Lagenorhynchus obliquidens	180000
69386	Lagenorhynchus obscurus	80000
74903	Larosterna inca	189
75062	Larus argentatus	1135
80237	Larus armenicus	1050
80238	Larus atlanticus	960
75069	Larus atricilla	289
84257	Larus audouinii	770
75075	Larus belcheri	600
75078	Larus brunnicephalus	710
75079	Larus bulleri	270
76824	Larus cachinnans	1500
75064	Larus californicus	607
75067	Larus canus	404
75080	Larus cirrocephalus	330
75066	Larus crassirostris	640
75065	Larus delawarensis	471
75081	Larus dominicanus	1050.90002441406
75084	Larus fuliginosus	0
75061	Larus fuscus	830
75085	Larus genei	350
75057	Larus glaucescens	1010
75056	Larus glaucoides	863
84124	Larus glaucoides thayeri	996
80239	Larus hartlaubii	340
75073	Larus heermanni	640
84127	Larus hemprichii	510
75055	Larus hyperboreus	1413
75087	Larus ichthyaetus	2000
75088	Larus leucophthalmus	410
74522	Larus livens	1320
75089	Larus maculipennis	360
75058	Larus marinus	1488
75090	Larus melanocephalus	390
75091	Larus modestus	400
75092	Larus novaehollandiae	350
75060	Larus occidentalis	1010
75093	Larus pacificus	1180
75071	Larus philadelphia	212
75070	Larus pipixcan	280
75094	Larus relictus	660
75068	Larus ridibundus	320
75099	Larus saundersi	0
75059	Larus schistisagus	1327
80240	Larus scopulinus	280
74519	Larus serranus	480
67020	Lepidochelys olivacea	43400
69574	Leptonychotes weddellii	450000
75100	Leucophaeus scoresbii	520
26	Limulus polyphemus	1814.36901855469
69369	Lipotes vexillifer	135000
69393	Lissodelphis borealis	115000
69394	Lissodelphis peronii	116000
92276	Lithodes santolla	8000
71170	Lobodon carcinophaga	300000
57480	Loligo vulgaris	1500
83767	Lutra felina	4500
71068	Lutra lutra	10000000
81340	Macrocheira kaempferi	13600
73783	Macronectes giganteus	4734.7998046875
73784	Macronectes halli	4541
58209	Macrotritopus defilippi	56.4
83540	Matuta planipes	30.9
69008	Megaptera novaeangliae	35000000
73705	Megadyptes antipodes	5500
73609	Melanitta fusca	1757
73794	Melanitta nigra	950
73793	Melanitta perspicillata	950
73430	Mergus serrator	1021.5
57683	Mesonychoteuthis hamiltoni	495000
68996	Mesoplodon carlhubbsi	1400000
69001	Mesoplodon densirostris	1033000
68894	Mesoplodon europaeus	1200000
68896	Mesoplodon grayi	1100000
68893	Mesoplodon mirus	1400000
25370	Metapenaeopsis palmensis	6
