phylum	class	order	family	genus	species	specificEpithet	sex	sampleSizeValue	inTextReference	publicationYear	fullReference	body mass	body mass - units	body mass - minimum	body mass - maximum	body mass - method	body mass - comments	body mass - metadata comment	original body mass	original body mass - units	metabolic rate	metabolic rate - units	metabolic rate - minimum	metabolic rate - maximum	metabolic rate - method	metabolic rate - comments	metabolic rate - metadata comment	original metabolic rate	original metabolic rate - units	original respiratoryQuotient	original temperature	mass-specific metabolic rate	mass-specific metabolic rate - units	brain size	brain size - units	brain size - minimum	brain size - maximum	brain size - method	brain size - comments	brain size - metadata comment	original brain size	original brain size - units
Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla versicolor	versicolor		1	"Taylor, Nol, & Boire, 1995"	1995	"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543"	0.01315	kg						13.15	g														4.23E-05	kg			histological reconstruction	total brain volume 	photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed	40.79	mm3
Chordata	Amphibia	Anura	Hylidae	Pseudacris	Pseudacris triseriata	triseriata		3	"Taylor, Nol, & Boire, 1995"	1995	"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543"	1.00E-04	kg						0.1	g														2.26E-06	kg			histological reconstruction		photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed	2.18	mm3
Chordata	Amphibia	Anura	Hylidae	Acris	Acris crepitans	crepitans		3	"Taylor, Nol, & Boire, 1995"	1995	"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543"	3.00E-04	kg						0.3	g														4.43E-06	kg			histological reconstruction		photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed	4.28	mm3
Chordata	Amphibia	Anura	Ceratobatrachidae	Platymantis	Platymantis vitiensis	vitiensis		1	"Taylor, Nol, & Boire, 1995"	1995	"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543"	3.00E-04	kg						0.3	g														4.93E-06	kg			histological reconstruction		photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed	4.76	mm3
Chordata	Amphibia	Anura	Ranidae	Rana	Rana sylvatica	sylvatica		3	"Taylor, Nol, & Boire, 1995"	1995	"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543"	0.00037	kg						0.37	g														8.57E-06	kg			histological reconstruction		photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed	8.27	mm3
Chordata	Amphibia	Anura	Ranidae	Rana	Rana pipiens	pipiens		3	"Taylor, Nol, & Boire, 1995"	1995	"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543"	0.0011	kg						1.1	g														2.04E-05	kg			histological reconstruction		photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed	19.65	mm3
Chordata	Amphibia	Anura	Ranidae	Rana	Rana clamitans	clamitans		3	"Taylor, Nol, & Boire, 1995"	1995	"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543"	0.00362	kg						3.62	g														3.92E-05	kg			histological reconstruction		photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed	37.79	mm3
Chordata	Amphibia	Anura	Pipidae	Xenopus	Xenopus laevis	laevis		1	"Taylor, Nol, & Boire, 1995"	1995	"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543"	0.03237	kg						32.37	g														5.14E-05	kg			histological reconstruction		photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed	49.59	mm3
Chordata	Amphibia	Anura	Rhionphrynidae	Rhinophrynus	Rhinophrynus dorsalis	dorsalis		1	"Taylor, Nol, & Boire, 1995"	1995	"Taylor, G. M., Nol, E., & Boire, D. (1995). Brain regions and encephalization in anurans: adaptation or stability? Brain, behavior and evolution, 45(2), 96-109. doi:10.1159/000113543"	0.01657	kg						16.57	g														3.29E-05	kg			histological reconstruction		photographs of cross sections were taken and volume measured using scientific digitizing tablet; brains were weighed	31.78	mm3
Arthropoda	Arachnida	Araneae	Ctenidae	Cupiennius	Cupiennius salei	salei		5	"Weltzien & Barth, 1991"	1991	"Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain “central body” has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104"																							2.51E-07	kg			histological reconstruction		cross sctions were horizontally aligned and measured with microscopic device	2.42E+08	um3
Arthropoda	Arachnida	Araneae	Araneidae	Nephila	Nephila clavipes	clavipes		5	"Weltzien & Barth, 1991"	1991	"Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain “central body” has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104"																							6.31E-08	kg			histological reconstruction	DONTWARN: checked value correct	cross sctions were horizontally aligned and measured with microscopic device	60900000	um3
Arthropoda	Arachnida	Araneae	Theraphosidae	Ephebopus	Ephebopus sp.	sp.		3	"Weltzien & Barth, 1991"	1991	"Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain “central body” has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104"																							3.82E-07	kg			histological reconstruction		cross sctions were horizontally aligned and measured with microscopic device	3.69E+08	um3
Arthropoda	Arachnida	Araneae	Salticidae	Phidippus	Phidippus regius	regius		3	"Weltzien & Barth, 1991"	1991	"Peter, W., & Barth, F. G. (1991). Volumetric measurements do not demonstrate that the spider brain “central body” has a special role in web building. Journal of Morphology, 208(1), 91-98. doi:10.1002/jmor.1052080104"																							2.75E-07	kg			histological reconstruction		cross sctions were horizontally aligned and measured with microscopic device	2.65E+08	um3
Arthropoda	Arachnida	Araneae	Araneidae	Zygiella	Zygiella x-notata	x-notata		20	"Pasquet, Toscani, & Anotaux, 2018"	2018	"Pasquet, A., Toscani, C., & Anotaux, M. (2018). Influence of aging on brain and web characteristics of an orb web spider. Journal of Ethology, 36(1), 85-91. doi:10.1007/s10164-017-0530-z"	3.90E-05	kg				old spider		39	mg														1.22E-06	kg			histological reconstruction	old spider	"surface areas were measured with microscope then rotated 90 deg and divided into seven sections, heights were calculated then volume was measured"	1.18	mm3
Arthropoda	Arachnida	Araneae	Araneidae	Zygiella	Zygiella x-notata	x-notata		13	"Pasquet, Toscani, & Anotaux, 2018"	2018	"Pasquet, A., Toscani, C., & Anotaux, M. (2018). Influence of aging on brain and web characteristics of an orb web spider. Journal of Ethology, 36(1), 85-91. doi:10.1007/s10164-017-0530-z"	2.90E-05	kg				young spider		29	mg														1.36E-06	kg			histological reconstruction	young spider	"surface areas were measured with microscope then rotated 90 deg and divided into seven sections, heights were calculated then volume was measured"	1.31	mm3
Arthropoda	Arachnida	Araneae	Mysmenidae	Mysmena	Mysmena sp.	sp.	female	1	"Quesada et al., 2011"	2011	"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002"	1.00E-07	kg						0.1	mg														4.04E-09	kg			histological reconstruction	CNS (includes volume of neuropil)	photographs of cross sections were taken and then reconstructed using PC-reconstruct	3.9	x1e6 um3
Arthropoda	Arachnida	Araneae	Mysmenidae	Mysmenopsis	Mysmenopsis tengellacompa	tengellacompa	female	1	"Quesada et al., 2011"	2011	"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002"	3.00E-07	kg						0.3	mg														1.88E-08	kg			histological reconstruction		photographs of cross sections were taken and then reconstructed using PC-reconstruct	18.1	x1e6 um3
Arthropoda	Arachnida	Araneae	Anapidae	Anapisona	Anapisona simoni	simoni	female	1	"Quesada et al., 2011"	2011	"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002"	8.00E-07	kg						0.8	mg														1.32E-08	kg			histological reconstruction		photographs of cross sections were taken and then reconstructed using PC-reconstruct	12.7	x1e6 um3
Arthropoda	Arachnida	Araneae	Anapidae	Anapisona	Anapisona simoni	simoni	male	1	"Quesada et al., 2011"	2011	"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002"	8.00E-07	kg						0.8	mg														1.20E-08	kg			histological reconstruction		photographs of cross sections were taken and then reconstructed using PC-reconstruct	11.6	x1e6 um3
Arthropoda	Arachnida	Araneae	Theridiidae	Faiditus	Faiditus elevatus	elevatus	female	1	"Quesada et al., 2011"	2011	"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002"	3.00E-06	kg						3	mg														3.40E-08	kg			histological reconstruction		photographs of cross sections were taken and then reconstructed using PC-reconstruct	32.8	x1e6 um3
Arthropoda	Arachnida	Araneae	Theridiidae	Faiditus	Faiditus elevatus	elevatus	male	1	"Quesada et al., 2011"	2011	"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002"	2.40E-06	kg						2.4	mg														5.51E-08	kg			histological reconstruction		photographs of cross sections were taken and then reconstructed using PC-reconstruct	53.2	x1e6 um3
Arthropoda	Arachnida	Araneae	Theridiidae	Faiditus	Faiditus sp.	sp.	male	1	"Quesada et al., 2011"	2011	"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002"	2.70E-06	kg						2.7	mg														5.57E-08	kg			histological reconstruction		photographs of cross sections were taken and then reconstructed using PC-reconstruct	53.8	x1e6 um3
Arthropoda	Arachnida	Araneae	Araneidae	Eustala	Eustala illicita	illicita	male	1	"Quesada et al., 2011"	2011	"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002"	1.40E-05	kg						14	mg																						
Arthropoda	Arachnida	Araneae	Tetragnathidae	Leucauge	Leucauge mariana	mariana	female	1	"Quesada et al., 2011"	2011	"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002"	6.00E-05	kg						60	mg														1.58E-07	kg			histological reconstruction		photographs of cross sections were taken and then reconstructed using PC-reconstruct	152.6	x1e6 um3
Arthropoda	Arachnida	Araneae	Tetragnathidae	Leucauge	Leucauge mariana	mariana	male	1	"Quesada et al., 2011"	2011	"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002"	2.00E-05	kg						20	mg														1.34E-07	kg			histological reconstruction		photographs of cross sections were taken and then reconstructed using PC-reconstruct	129.5	x1e6 um3
Arthropoda	Arachnida	Araneae	Araneidae	Argiope	Argiope argentata	argentata	female	1	"Quesada et al., 2011"	2011	"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002"	0.00025	kg						250	mg														3.45E-07	kg			histological reconstruction		photographs of cross sections were taken and then reconstructed using PC-reconstruct	333.2	x1e6 um3
Arthropoda	Arachnida	Araneae	Araneidae	Nephila	Nephila clavipes	clavipes	female	1	"Quesada et al., 2011"	2011	"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002"	0.002	kg				"DONTWARN: checked; data valid, extreme sexual dimorphism"		2000	mg														6.63E-07	kg			histological reconstruction	"DONTWARN: checked; data valid, extreme sexual dimorphism"	photographs of cross sections were taken and then reconstructed using PC-reconstruct	640	x1e6 um3
Arthropoda	Arachnida	Araneae	Araneidae	Nephila	Nephila clavipes	clavipes	male	1	"Quesada et al., 2011"	2011	"Quesada, R., Triana, E., Vargas, G., Douglass, J. K., Seid, M. A., Niven, J. E., . . . Wcislo, W. T. (2011). The allometry of CNS size and consequences of miniaturization in orb-weaving and cleptoparasitic spiders. Arthropod Structure & Development, 40(6), 521-529. doi:10.1016/j.asd.2011.07.002"	1.12E-05	kg				"DONTWARN: checked; data valid, extreme sexual dimorphism"		11.2	mg														1.62E-07	kg			histological reconstruction	"DONTWARN: checked; data valid, extreme sexual dimorphism"	photographs of cross sections were taken and then reconstructed using PC-reconstruct	155.9	x1e6 um3
Arthropoda	Arachnida	Araneae	Agelenidae	Eratigena	Eratigena atrica	atrica		10	"Napiorkowska & Kobak, 2017"	2017	"Napiorkowska, T., & Kobak, J. (2017). The allometry of the central nervous system during the postembryonic development of the spider Eratigena atrica. Arthropod Structure & Development, 46(6), 805-814. doi:10.1016/j.asd.2017.08.005"																							1.38E-07	kg			histological reconstruction			0.133	mm3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	male	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							2.45E-08	kg			micro-CT	supplementary material says data is in u3? In text units are um3 - no body mass recorded 		23651990.5	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	female	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							2.20E-08	kg			micro-CT			21258007.3	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	male	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							2.43E-08	kg			micro-CT			23490669	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	female	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							2.30E-08	kg			micro-CT			22163868.2	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	male	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							2.95E-08	kg			micro-CT			28437873.9	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	male	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							2.44E-08	kg			micro-CT			23521706.8	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	female	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							2.11E-08	kg			micro-CT			20384559.7	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	female	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							3.50E-08	kg			micro-CT			33749982.2	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	female	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							4.01E-08	kg			micro-CT			38713309.3	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	female	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							2.53E-08	kg			micro-CT			24437112	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	male	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							3.88E-08	kg			micro-CT			37418040.8	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	female	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							2.91E-08	kg			micro-CT			28068114.9	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	female	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							3.76E-08	kg			micro-CT			36258229.6	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	male	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							3.79E-08	kg			micro-CT			36576462	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	male	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							3.91E-08	kg			micro-CT			37752720.7	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	female	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							4.38E-08	kg			micro-CT			42263063.4	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	male	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							4.33E-08	kg			micro-CT			41817398.1	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	female	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							4.50E-08	kg			micro-CT			43449687	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	male	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							3.96E-08	kg			micro-CT			38210955.9	um3
Arthropoda	Arachnida	Araneae	Deinopidae	Deinopis	Deinopis spinosa	spinosa	male	1	"Stafstrom, Michalik, & Hebets, 2017"	2017	"Stafstrom, J. A., Michalik, P., & Hebets, E. A. (2017). Sensory system plasticity in a visually specialized, nocturnal spider. Scientific Reports, 7, 46627. doi:10.1038/srep46627"																							3.50E-08	kg			micro-CT			33790406.6	um3
Chordata	Aves	Casuariiformes	Casuariidae	Casuarius	Casuarius casuarius	casuarius		1	"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014"	2014	"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034"	43.85	kg				"brain volume is raw in this source, but body mass is from the handbook of australian, new zealand and antartic birds (volumes 1-7)"		43850	g														0.0376586	kg			skull filling	relative brain weight 		36.35	ml
Chordata	Aves	Casuariiformes	Casuariidae	Dromaius	Dromaius novaehollandiae	novaehollandiae		1	"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014"	2014	"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034"	36.5	kg						36500	g														0.02991968	kg			skull filling			28.88	ml
Chordata	Aves	Galliformes	Megapodiidae	Alectura	Alectura lathami	lathami		1	"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014"	2014	"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034"	2.3	kg						2300	g														0.00588448	kg			skull filling			5.68	ml
Chordata	Aves	Galliformes	Megapodiidae	Leipoa	Leipoa ocellata	ocellata		1	"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014"	2014	"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034"	2	kg						2000	g														0.004662	kg			skull filling			4.5	ml
Chordata	Aves	Galliformes	Phasianidae	Coturnix	Coturnix pectoralis	pectoralis		1	"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014"	2014	"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034"	0.105	kg						105	g														0.00099456	kg			skull filling			0.96	ml
Chordata	Aves	Galliformes	Phasianidae	Excalfactoria	Excalfactoria chinensis	chinensis		1	"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014"	2014	"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034"	0.0375	kg						37.5	g														0.00058016	kg			skull filling			0.56	ml
Chordata	Aves	Anseriformes	Anseranatidae	Anseranas	Anseranas semipalmata	semipalmata		1	"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014"	2014	"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034"	2.4	kg						2400	g														0.0091168	kg			skull filling			8.8	ml
Chordata	Aves	Anseriformes	Anatidae	Dendrocygna	Dendrocygna eytoni	eytoni		1	"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014"	2014	"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034"	1	kg						1000	g														0.00472416	kg			skull filling			4.56	ml
Chordata	Aves	Anseriformes	Anatidae	Dendrocygna	Dendrocygna arcuata	arcuata		1	"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014"	2014	"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034"	0.8	kg						800	g														0.00467236	kg			skull filling			4.51	ml
Chordata	Aves	Anseriformes	Anatidae	Biziura	Biziura lobata	lobata		1	"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014"	2014	"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034"	1.975	kg						1975	g														0.00903392	kg			skull filling			8.72	ml
