SpecCode	Species	Weight
544	Anchovia macrolepidota	57.400001525878906
1675	Anchoviella lepidentostole	32
62844	Anostomoides passionis	669.91998291015625
60529	Anotopterus nikparini	1650
12213	Ancistrus dolichopterus	120.19999694824219
51577	Ancistrus ranunculus	153.6699981689453
50310	Ancistrus taunayi	52.29999923706055
67109	Andinoacara blombergi	48.95000076293945
12271	Andinoacara latifrons	326.79998779296875
35	Anguilla anguilla	6599
297	Anguilla australis	7480
1272	Anguilla bengalensis	6000
11878	Anguilla dieffenbachii	25000
295	Anguilla japonica	1889
1273	Anguilla labiata	20000
1275	Anguilla marmorata	20500
1276	Anguilla mossambica	750
11700	Anguilla nebulosa	7000
7512	Anguilla reinhardtii	22000
296	Anguilla rostrata	7330
8253	Anisotremus interruptus	3570
8255	Anisotremus scapularis	896
1123	Anisotremus surinamensis	5780
1124	Anisotremus virginicus	930
5474	Antennarius striatus	32.900001525878906
3258	Antigonia capros	170
2006	Antimora microlepis	2100
2005	Antimora rostrata	2830
23432	Apareiodon affinis	84.5
52506	Apareiodon vittatus	64.69999694824219
81	Aphareus furca	906
83	Aphareus rutilans	11325
50015	Aphos porosus	265
46687	Apistogramma regani	2.2939999103546143
12909	Aplodactylus punctatus	862
3577	Aplodinotus grunniens	24720
7328	Apocryptodon madurensis	7
60362	Apogonichthyoides pharaonis	20
127	Apogonichthyoides taeniatus	33.130001068115234
130	Argyropelecus aculeatus	20.899999618530273
6968	Argyropelecus hemigymnus	1.399999976158142
7392	Argyropelecus sladeni	13.199999809265137
84	Aprion virescens	15400
62554	Apristurus melanoasper	1288
85	Apsilus dentatus	3170
13257	Apteronotus bonapartii	138.3800048828125
48015	Apteronotus mariae	61.400001525878906
4177	Aptocyclus ventricosus	2300
54808	Arabibarbus grypus	30000
2076	Arapaima gigas	200000
60358	Archamia bleekeri	23.200000762939453
4040	Archistes biseriatus	110
3362	Archoplites interruptus	1440
441	Archosargus probatocephalus	9630
1219	Archosargus rhomboidalis	550
2564	Arctoraja parmifera	18200
463	Arctoscopus japonicus	200
27808	Argonectes longiceps	312
56996	Argonectes robertsi	483
53409	Argopleura diquensis	4.300000190734863
53410	Argopleura magdalenensis	3.3399999141693115
17278	Argyrosomus coronus	77000
419	Argyrosomus hololepidotus	71000
17270	Argyrosomus inodorus	36300
11979	Argyrosomus japonicus	75000
418	Argyrosomus regius	103000
7916	Argyrosomus thorpei	12000
443	Argyrozona argyrozona	3500
947	Ariopsis felis	5500
13480	Ariopsis seemanni	912.29998779296875
1289	Arius jella	500
5425	Arothron hispidus	2010
7188	Arothron immaculatus	775
392	Arripis georgiana	800
5048	Arripis trutta	9400
14606	Arripis truttacea	10500
7066	Artedidraco orianae	38
7067	Artedidraco shackletoni	25.600000381469727
23953	Artediellus camchaticus	370
58410	Aspistor luniscutis	144
956	Aspistor quadriscutis	33.29999923706055
49591	Astroblepus chapmani	39
49695	Astroblepus micrescens	44.20000076293945
47621	Astrodoras asterifrons	50
15025	Atherinomorus insularum	9
527	Austroglossus microlepis	4000
7327	Balistes capriscus	6150
25854	Barbus plebejus	6000
10153	Astronesthes richardsoni	32.900001525878906
3612	Astronotus ocellatus	1580
3703	Astroscopus guttatus	9100
12911	Astyanax abramis	29.700000762939453
4475	Astyanax bimaculatus	91.5999984741211
58130	Astyanax lacustris	25.299999237060547
48621	Astyanax magdalenae	108.0999984741211
51051	Astyanax microlepis	73.80000305175781
518	Atheresthes evermanni	8500
517	Atheresthes stomias	8600
420	Atractoscion aequidens	25000
3578	Atractoscion nobilis	41000
1073	Atractosteus spatula	137000
7326	Atractosteus tropicus	2890
53680	Auchenipterichthys coracoideus	113.9000015258789
47668	Auchenipterichthys longimanus	112
13114	Auchenipterichthys thoracatus	62.38999938964844
57151	Auchenipterus britskii	62.20000076293945
57146	Auchenipterus dentatus	122.7699966430664
57150	Auchenipterus osteomystax	380
5464	Auchenoglanis biscutatus	4400
25064	Aulopareia unicolor	15.800000190734863
59933	Austrolebias nigrofasciatus	2.5999999046325684
94	Auxis thazard	1720
11016	Badis badis	2.5799999237060547
61815	Badis tuivaiei	3.8299999237060547
958	Bagre bagre	975
959	Bagre marinus	4360
5462	Bagrus bajad	12500
6519	Bagrus docmak	35000
9282	Bagrus filamentosus	2050
4721	Bagrus meridionalis	9500
12045	Bahaba taipingensis	100000
4931	Balistes punctatus	1800
19	Balistes vetula	5440
6374	Ballerus ballerus	940
14449	Bangana decora	4000
60239	Bangana wui	3000
6377	Barbatula barbatula	200
55314	Barbatula farsica	2.4000000953674316
61649	Barbatula toni	121
7993	Barbichthys laevis	280.79998779296875
12138	Barbodes carnaticus	12000
4677	Barbodes semifasciolatus	11.899999618530273
4472	Barbus barbus	12000
5424	Barbus meridionalis	200
46148	Barbus tyberinus	4000
9117	Bathylagoides argyrogaster	11.600000381469727
54825	Barilius mesopotamicus	2.450000047683716
61878	Barilius naseeri	16.34000015258789
59977	Barilius pakistanicus	8.930000305175781
66162	Baryancistrus chrysolomus	410
50006	Baryancistrus niveatus	520
66161	Baryancistrus xanthellus	510
50836	Basilichthys archaeus	19.350000381469727
65818	Batasio fluviatilis	6.5
9301	Bathybagrus grandis	4000
9302	Bathybagrus graueri	515
50085	Bathyclupea hoskynii	76
7097	Bathydraco marri	908
3692	Bathymaster signatus	370
2555	Bathyraja aleutica	23100
51184	Bathyraja brachyurops	10650
54021	Bathyraja maculata	8500
22561	Bathyraja matsubarai	10600
2571	Bathyraja trachura	5000
2572	Bathytoshia centroura	300000
27065	Bathytoshia lata	290000
968	Batrachoides manglae	350
969	Batrachoides surinamensis	2300
25015	Bothrocarina microcephala	860
8699	Brycon guatemalensis	4320
12342	Brycon henni	470
52994	Brycon hilarii	3360
27668	Brycon melanopterus	4350
5453	Brycon moorei	4880
48572	Brycon nattereri	2505.699951171875
48557	Brycon orbignyanus	6000
12373	Brycon pesu	88.410003662109375
53001	Brycon rubricauda	725
