Event.ID,Species.ID.reported,gbif.binomial,class,family,Movement.type,Movement.measure,Value,Units,Statistic,Movement.mode,Body.mass,Body.mass.units,Study.type,MetaRef,Reference,Body.mass.source,Movement Mode Ref
139,Brachylagus idahoensis,Brachylagus idahoensis,Mammalia,Leporidae,Dispersal,Distance,6500,m,Maximum,Running,421.34,g,Metastudy,Whitmee & Orme. 2013,Estes-Zumpf & Rachlow. 2009,Wilman et al 2014,Inferred from Class:  Mammalia
142,Spermophilus beecheyi,Spermophilus beecheyi,Mammalia,Sciuridae,Dispersal,Distance,1140,m,Maximum,Running,578.5,g,Metastudy,Whitmee & Orme. 2013,Evans. 1943,Wilman et al 2014,Inferred from Class:  Mammalia
143,Spermophilus beecheyi,Spermophilus beecheyi,Mammalia,Sciuridae,Dispersal,Distance,1140,m,Maximum,Running,578.5,g,Metastudy,Whitmee & Orme. 2013,Evans. 1943,Wilman et al 2014,Inferred from Class:  Mammalia
148,Aotus azarae,Aotus azarae,Mammalia,Aotidae,Dispersal,Distance,962,m,Maximum,Running,929.57,g,Metastudy,Whitmee & Orme. 2013,Fernandez-Duque. 2009,Wilman et al 2014,Inferred from Class:  Mammalia
149,Aotus azarae,Aotus azarae,Mammalia,Aotidae,Dispersal,Distance,2243,m,Maximum,Running,929.57,g,Metastudy,Whitmee & Orme. 2013,Fernandez-Duque. 2009,Wilman et al 2014,Inferred from Class:  Mammalia
154,Antechinus stuartii,Antechinus stuartii,Mammalia,Dasyuridae,Dispersal,Distance,270,m,Maximum,Running,27.5,g,Metastudy,Whitmee & Orme. 2013,Fischer. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
155,Antechinus stuartii,Antechinus stuartii,Mammalia,Dasyuridae,Dispersal,Distance,1230,m,Maximum,Running,27.5,g,Metastudy,Whitmee & Orme. 2013,Fischer. 2005,Wilman et al 2014,Inferred from Class:  Mammalia
156,Panthera leo,Panthera leo,Mammalia,Felidae,Dispersal,Distance,21900,m,Maximum,Running,161499.06,g,Metastudy,Whitmee & Orme. 2013,Funston et al. 2003,Wilman et al 2014,Inferred from Class:  Mammalia
159,Gulo gulo,Gulo gulo,Mammalia,Mustelidae,Dispersal,Distance,378000,m,Maximum,Running,17012.56,g,Metastudy,Whitmee & Orme. 2013,Gardner et al. 1986,Wilman et al 2014,Inferred from Class:  Mammalia
160,Cynomys ludovicianus,Cynomys ludovicianus,Mammalia,Sciuridae,Dispersal,Distance,3900,m,Maximum,Running,1364,g,Metastudy,Whitmee & Orme. 2013,Garrett & Franklin. 1988,Wilman et al 2014,Inferred from Class:  Mammalia
161,Cynomys ludovicianus,Cynomys ludovicianus,Mammalia,Sciuridae,Dispersal,Distance,5500,m,Maximum,Running,1364,g,Metastudy,Whitmee & Orme. 2013,Garrett & Franklin. 1988,Wilman et al 2014,Inferred from Class:  Mammalia
166,Procyon lotor,Procyon lotor,Mammalia,Procyonidae,Dispersal,Distance,33000,m,Maximum,Running,5524.97,g,Metastudy,Whitmee & Orme. 2013,Gehrt & Fritzell. 1998,Wilman et al 2014,Inferred from Class:  Mammalia
168,Neovison vison,Neovison vison,Mammalia,Mustelidae,Dispersal,Distance,45000,m,Maximum,Running,1150,g,Metastudy,Whitmee & Orme. 2013,Gerell. 1970,Wilman et al 2014,Inferred from Class:  Mammalia
171,Canis lupus,Canis lupus,Mammalia,Canidae,Dispersal,Distance,354000,m,Maximum,Running,32183.33,g,Metastudy,Whitmee & Orme. 2013,Gese & Mech. 1991,Wilman et al 2014,Inferred from Class:  Mammalia
178,Lepus americanus,Lepus americanus,Mammalia,Leporidae,Dispersal,Distance,16500,m,Maximum,Running,1710.02,g,Metastudy,Whitmee & Orme. 2013,Gillis & Krebs. 1999,Wilman et al 2014,Inferred from Class:  Mammalia
179,Lepus americanus,Lepus americanus,Mammalia,Leporidae,Dispersal,Distance,6750,m,Maximum,Running,1710.02,g,Metastudy,Whitmee & Orme. 2013,Gillis & Krebs. 1999,Wilman et al 2014,Inferred from Class:  Mammalia
190,Vulpes vulpes,Vulpes vulpes,Mammalia,Canidae,Dispersal,Distance,2200,m,Maximum,Running,5476.17,g,Metastudy,Whitmee & Orme. 2013,Harris & Trewhella. 1988,Wilman et al 2014,Inferred from Class:  Mammalia
191,Vulpes vulpes,Vulpes vulpes,Mammalia,Canidae,Dispersal,Distance,3400,m,Maximum,Running,5476.17,g,Metastudy,Whitmee & Orme. 2013,Harris & Trewhella. 1988,Wilman et al 2014,Inferred from Class:  Mammalia
196,Canis latrans,Canis latrans,Mammalia,Canidae,Dispersal,Distance,342000,m,Maximum,Running,13406.33,g,Metastudy,Whitmee & Orme. 2013,Harrison. 1992,Wilman et al 2014,Inferred from Class:  Mammalia
197,Canis latrans,Canis latrans,Mammalia,Canidae,Dispersal,Distance,308000,m,Maximum,Running,13406.33,g,Metastudy,Whitmee & Orme. 2013,Harrison. 1992,Wilman et al 2014,Inferred from Class:  Mammalia
202,Odocoileus hemionus,Odocoileus hemionus,Mammalia,Cervidae,Dispersal,Distance,112653.79999999999,m,Maximum,Running,54212.57,g,Metastudy,Whitmee & Orme. 2013,Hedlund. 1975,Wilman et al 2014,Inferred from Class:  Mammalia
205,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Distance,120000,m,Maximum,Running,51600.04,g,Metastudy,Whitmee & Orme. 2013,Hemker et al. 1984,Wilman et al 2014,Inferred from Class:  Mammalia
206,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Distance,118000,m,Maximum,Running,51600.04,g,Metastudy,Whitmee & Orme. 2013,Hemker et al. 1984,Wilman et al 2014,Inferred from Class:  Mammalia
207,Cynomys gunnisoni,Cynomys gunnisoni,Mammalia,Sciuridae,Dispersal,Distance,221,m,Maximum,Running,925,g,Metastudy,Whitmee & Orme. 2013,Hoogland. 1999,Wilman et al 2014,Inferred from Class:  Mammalia
208,Cynomys gunnisoni,Cynomys gunnisoni,Mammalia,Sciuridae,Dispersal,Distance,575,m,Maximum,Running,925,g,Metastudy,Whitmee & Orme. 2013,Hoogland. 1999,Wilman et al 2014,Inferred from Class:  Mammalia
211,Antilocapra americana,Antilocapra americana,Mammalia,Antilocapridae,Dispersal,Distance,41200,m,Maximum,Running,46082.92,g,Metastudy,Whitmee & Orme. 2013,Jacques & Jenks. 2007,Wilman et al 2014,Inferred from Class:  Mammalia
212,Antilocapra americana,Antilocapra americana,Mammalia,Antilocapridae,Dispersal,Distance,75800,m,Maximum,Running,46082.92,g,Metastudy,Whitmee & Orme. 2013,Jacques & Jenks. 2007,Wilman et al 2014,Inferred from Class:  Mammalia
213,Antilocapra americana,Antilocapra americana,Mammalia,Antilocapridae,Dispersal,Distance,267300,m,Maximum,Running,46082.92,g,Metastudy,Whitmee & Orme. 2013,Jacques & Jenks. 2007,Wilman et al 2014,Inferred from Class:  Mammalia
214,Antilocapra americana,Antilocapra americana,Mammalia,Antilocapridae,Dispersal,Distance,132600,m,Maximum,Running,46082.92,g,Metastudy,Whitmee & Orme. 2013,Jacques & Jenks. 2007,Wilman et al 2014,Inferred from Class:  Mammalia
223,Peromyscus leucopus,Peromyscus leucopus,Mammalia,Cricetidae,Dispersal,Distance,129,m,Maximum,Running,21.17,g,Metastudy,Whitmee & Orme. 2013,Jacquot & Vessey. 1995,Wilman et al 2014,Inferred from Class:  Mammalia
224,Peromyscus leucopus,Peromyscus leucopus,Mammalia,Cricetidae,Dispersal,Distance,183,m,Maximum,Running,21.17,g,Metastudy,Whitmee & Orme. 2013,Jacquot & Vessey. 1995,Wilman et al 2014,Inferred from Class:  Mammalia
227,Vulpes vulpes,Vulpes vulpes,Mammalia,Canidae,Dispersal,Distance,140000,m,Maximum,Running,5476.17,g,Metastudy,Whitmee & Orme. 2013,Jensen. 1973,Wilman et al 2014,Inferred from Class:  Mammalia
228,Vulpes vulpes,Vulpes vulpes,Mammalia,Canidae,Dispersal,Distance,110000,m,Maximum,Running,5476.17,g,Metastudy,Whitmee & Orme. 2013,Jensen. 1973,Wilman et al 2014,Inferred from Class:  Mammalia
229,Bettongia tropica,Bettongia tropica,Mammalia,Potoroidae,Dispersal,Distance,1300,m,Maximum,Running,1256.58,g,Metastudy,Whitmee & Orme. 2013,Johnson & Payne. 2002,Wilman et al 2014,Inferred from Class:  Mammalia
230,Aepyprymnus rufescens,Aepyprymnus rufescens,Mammalia,Potoroidae,Dispersal,Distance,600,m,Maximum,Running,3250,g,Metastudy,Whitmee & Orme. 2013,Johnson & Payne. 2002,Wilman et al 2014,Inferred from Class:  Mammalia
