Event.ID,Species.ID.reported,gbif.binomial,class,family,Movement.type,Movement.measure,Value,Units,Statistic,Movement.mode,Body.mass,Body.mass.units,Study.type,MetaRef,Reference,Body.mass.source,Movement Mode Ref
1898,Falco sparverius,Falco sparverius,Aves,Falconidae,Dispersal,Distance,38790,m,Maximum,Flying,120,g,Metastudy,Sutherland et al. 2000,Miller and Smallwood 1997,Sutherland et al. 2000,Inferred from Class:  Aves
1900,Bonasa bonasia,Bonasa bonasia,Aves,Phasianidae,Dispersal,Distance,5700,m,Maximum,Flying,429,g,Metastudy,Sutherland et al. 2000,Fang and Sun 1997,Wilman et al 2014,Inferred from Class:  Aves
1901,Bonasa bonasia,Bonasa bonasia,Aves,Phasianidae,Dispersal,Distance,4800,m,Maximum,Flying,429,g,Metastudy,Sutherland et al. 2000,Fang and Sun 1997,Wilman et al 2014,Inferred from Class:  Aves
1914,Meleagris gallopavo,Meleagris gallopavo,Aves,Phasianidae,Dispersal,Distance,48000,m,Maximum,Flying,4220,g,Metastudy,Sutherland et al. 2000,Eaton 1992,Sutherland et al. 2000,Inferred from Class:  Aves
1915,Lagopus leucurus,Lagopus leucura,Aves,Phasianidae,Dispersal,Distance,7500,m,Maximum,Flying,359,g,Metastudy,Sutherland et al. 2000,Giesen and Braun 1993,Sutherland et al. 2000,Inferred from Class:  Aves
1917,Lagopus leucurus,Lagopus leucura,Aves,Phasianidae,Dispersal,Distance,29000,m,Maximum,Flying,516,g,Metastudy,Sutherland et al. 2000,Giesen and Braun 1993,Sutherland et al. 2000,Inferred from Class:  Aves
1919,Lagopus lagopus,Lagopus lagopus,Aves,Phasianidae,Dispersal,Distance,4000,m,Maximum,Flying,601,g,Metastudy,Sutherland et al. 2000,Martin and Hannon 1987,Sutherland et al. 2000,Inferred from Class:  Aves
1921,Lagopus lagopus,Lagopus lagopus,Aves,Phasianidae,Dispersal,Distance,7500,m,Maximum,Flying,516,g,Metastudy,Sutherland et al. 2000,Martin and Hannon 1987,Sutherland et al. 2000,Inferred from Class:  Aves
1923,Actitis macularia,Actitis macularius,Aves,Scolopacidae,Dispersal,Distance,146700,m,Maximum,Flying,477,g,Metastudy,Sutherland et al. 2000,Oring et al. 1997,Sutherland et al. 2000,Inferred from Class:  Aves
1924,Actitis macularia,Actitis macularius,Aves,Scolopacidae,Dispersal,Distance,146700,m,Maximum,Flying,394,g,Metastudy,Sutherland et al. 2000,Oring et al. 1997,Sutherland et al. 2000,Inferred from Class:  Aves
1925,Numenius phaeopus,Numenius phaeopus,Aves,Scolopacidae,Dispersal,Distance,1630,m,Maximum,Flying,360,g,Metastudy,Sutherland et al. 2000,Skeel and Mallory 1996,Sutherland et al. 2000,Inferred from Class:  Aves
1926,Recurvirostra americana,Recurvirostra americana,Aves,Recurvirostridae,Dispersal,Distance,19400,m,Maximum,Flying,320,g,Metastudy,Sutherland et al. 2000,Robinson and Oring 1997,Sutherland et al. 2000,Inferred from Class:  Aves
1927,Charadrius melodus,Charadrius melodus,Aves,Charadriidae,Dispersal,Distance,596000,m,Maximum,Flying,552,g,Metastudy,Sutherland et al. 2000,Haig and Oring 1988,Sutherland et al. 2000,Inferred from Class:  Aves
1929,Charadrius melodus,Charadrius melodus,Aves,Charadriidae,Dispersal,Distance,146000,m,Maximum,Flying,552,g,Metastudy,Sutherland et al. 2000,Haig and Oring 1988,Sutherland et al. 2000,Inferred from Class:  Aves
1931,Larus delawarensis,Larus delawarensis,Aves,Laridae,Dispersal,Distance,700000,m,Maximum,Flying,570,g,Metastudy,Sutherland et al. 2000,Gabrey 1996,Sutherland et al. 2000,Inferred from Class:  Aves
1933,Larus delawarensis,Larus delawarensis,Aves,Laridae,Dispersal,Distance,700000,m,Maximum,Flying,470,g,Metastudy,Sutherland et al. 2000,Gabrey 1996,Sutherland et al. 2000,Inferred from Class:  Aves
1937,Larus fuscus,Larus fuscus,Aves,Laridae,Dispersal,Distance,202000,m,Maximum,Flying,710,g,Metastudy,Sutherland et al. 2000,Paradis et al. 1998,Sutherland et al. 2000,Inferred from Class:  Aves
1939,Columba palumbus,Columba palumbus,Aves,Columbidae,Dispersal,Distance,150000,m,Maximum,Flying,490,g,Metastudy,Sutherland et al. 2000,Paradis et al. 1998,Sutherland et al. 2000,Inferred from Class:  Aves
1941,Zenaida macroura,Zenaida macroura,Aves,Columbidae,Dispersal,Distance,4800,m,Maximum,Flying,123,g,Metastudy,Sutherland et al. 2000,Tomlinson et al. 1960,Sutherland et al. 2000,Inferred from Class:  Aves
1942,Zenaida macroura,Zenaida macroura,Aves,Columbidae,Dispersal,Distance,4800,m,Maximum,Flying,115,g,Metastudy,Sutherland et al. 2000,Tomlinson et al. 1960,Sutherland et al. 2000,Inferred from Class:  Aves
1947,Strix aluco,Strix aluco,Aves,Strigidae,Dispersal,Distance,22400,m,Maximum,Flying,454,g,Metastudy,Sutherland et al. 2000,Southern 1970,Sutherland et al. 2000,Inferred from Class:  Aves
1949,Strix aluco,Strix aluco,Aves,Strigidae,Dispersal,Distance,22400,m,Maximum,Flying,478,g,Metastudy,Sutherland et al. 2000,Southern 1970,Sutherland et al. 2000,Inferred from Class:  Aves
1950,Strix aluco,Strix aluco,Aves,Strigidae,Dispersal,Distance,4000,m,Maximum,Flying,478,g,Metastudy,Sutherland et al. 2000,Southern 1970,Sutherland et al. 2000,Inferred from Class:  Aves
1951,Strix nebulosa,Strix nebulosa,Aves,Strigidae,Dispersal,Distance,50000,m,Maximum,Flying,790,g,Metastudy,Sutherland et al. 2000,Bull and Duncan 1993,Sutherland et al. 2000,Inferred from Class:  Aves
1952,Strix nebulosa,Strix nebulosa,Aves,Strigidae,Dispersal,Distance,50000,m,Maximum,Flying,1160,g,Metastudy,Sutherland et al. 2000,Bull and Duncan 1993,Sutherland et al. 2000,Inferred from Class:  Aves
1962,Bubo virginianus,Bubo virginianus,Aves,Strigidae,Dispersal,Distance,1305000,m,Maximum,Flying,1154,g,Metastudy,Sutherland et al. 2000,Adamcik and Keith 1978,Sutherland et al. 2000,Inferred from Class:  Aves
1963,Bubo virginianus,Bubo virginianus,Aves,Strigidae,Dispersal,Distance,1305000,m,Maximum,Flying,1555,g,Metastudy,Sutherland et al. 2000,Adamcik and Keith 1978,Sutherland et al. 2000,Inferred from Class:  Aves
1964,Picoides borealis,Picoides borealis,Aves,Picidae,Dispersal,Distance,90000,m,Maximum,Flying,44,g,Metastudy,Sutherland et al. 2000,Jackson 1994,Sutherland et al. 2000,Inferred from Class:  Aves
1965,Dryocopus pileatus,Dryocopus pileatus,Aves,Picidae,Dispersal,Distance,32000,m,Maximum,Flying,310,g,Metastudy,Sutherland et al. 2000,Bull and Jackson 1995,Sutherland et al. 2000,Inferred from Class:  Aves
1966,Dryocopus pileatus,Dryocopus pileatus,Aves,Picidae,Dispersal,Distance,32000,m,Maximum,Flying,270,g,Metastudy,Sutherland et al. 2000,Bull and Jackson 1995,Sutherland et al. 2000,Inferred from Class:  Aves
1967,Hirundo fulva,Hirundo fulva,Aves,Hirundinidae,Dispersal,Distance,30000,m,Maximum,Flying,20,g,Metastudy,Sutherland et al. 2000,West 1995,Sutherland et al. 2000,Inferred from Class:  Aves
1968,Hirundo rustica,Hirundo rustica,Aves,Hirundinidae,Dispersal,Distance,8100,m,Maximum,Flying,190,g,Metastudy,Sutherland et al. 2000,Shields 1982,Sutherland et al. 2000,Inferred from Class:  Aves
1970,Iridoprocne bicolor,Iridoprocne bicolor,Aves,Hirundinidae,Dispersal,Distance,6400,m,Maximum,Flying,20,g,Metastudy,Sutherland et al. 2000,Chapman 1955,Sutherland et al. 2000,Inferred from Class:  Aves
1972,Riparia riparia,Riparia riparia,Aves,Hirundinidae,Dispersal,Distance,144000,m,Maximum,Flying,15,g,Metastudy,Sutherland et al. 2000,Mead 1979,Sutherland et al. 2000,Inferred from Class:  Aves
1974,Progne subis,Progne subis,Aves,Hirundinidae,Dispersal,Distance,322000,m,Maximum,Flying,49,g,Metastudy,Sutherland et al. 2000,Allen and Nice 1952,Sutherland et al. 2000,Inferred from Class:  Aves
1976,Delichon urbica,Delichon urbicum,Aves,Hirundinidae,Dispersal,Distance,4300,m,Maximum,Flying,20,g,Metastudy,Sutherland et al. 2000,Rheinwald 1975,Sutherland et al. 2000,Inferred from Class:  Aves
1978,Aphelocoma coerulescens,Aphelocoma coerulescens,Aves,Corvidae,Dispersal,Distance,1100,m,Maximum,Flying,80,g,Metastudy,Sutherland et al. 2000,Woolfenden and Fitzpatrick 1978,Sutherland et al. 2000,Inferred from Class:  Aves
1980,Aphelocoma coerulescens,Aphelocoma coerulescens,Aves,Corvidae,Dispersal,Distance,1800,m,Maximum,Flying,80,g,Metastudy,Sutherland et al. 2000,Woolfenden and Fitzpatrick 1978,Sutherland et al. 2000,Inferred from Class:  Aves
1982,Malurus splendens,Malurus splendens,Aves,Maluridae,Dispersal,Distance,2400,m,Maximum,Flying,10,g,Metastudy,Sutherland et al. 2000,Russell and Rowley 1993,Sutherland et al. 2000,Inferred from Class:  Aves
1984,Gymnorhinus cyanocephalus,Gymnorhinus cyanocephalus,Aves,Corvidae,Dispersal,Distance,640000,m,Maximum,Flying,103,g,Metastudy,Sutherland et al. 2000,Marzluff and Balda 1989,Sutherland et al. 2000,Inferred from Class:  Aves
1985,Sayornis nigricans,Sayornis nigricans,Aves,Tyrannidae,Dispersal,Distance,34400,m,Maximum,Flying,20,g,Metastudy,Sutherland et al. 2000,Wolf 1997,Sutherland et al. 2000,Inferred from Class:  Aves
1986,Sayornis nigricans,Sayornis nigricans,Aves,Tyrannidae,Dispersal,Distance,20000,m,Maximum,Flying,18,g,Metastudy,Sutherland et al. 2000,Wolf 1997,Sutherland et al. 2000,Inferred from Class:  Aves
1987,Perisoreus canadensis,Perisoreus canadensis,Aves,Corvidae,Dispersal,Distance,11300,m,Maximum,Flying,71,g,Metastudy,Sutherland et al. 2000,Strickland 1991,Sutherland et al. 2000,Inferred from Class:  Aves
1990,Pica pica,Pica pica,Aves,Corvidae,Dispersal,Distance,1300,m,Maximum,Flying,189,g,Metastudy,Sutherland et al. 2000,Eden 1987,Sutherland et al. 2000,Inferred from Class:  Aves
1992,Pica pica,Pica pica,Aves,Corvidae,Dispersal,Distance,800,m,Maximum,Flying,166,g,Metastudy,Sutherland et al. 2000,Eden 1987,Sutherland et al. 2000,Inferred from Class:  Aves
1994,Parus atricapillus,Parus atricapillus,Aves,Paridae,Dispersal,Distance,11200,m,Maximum,Flying,11,g,Metastudy,Sutherland et al. 2000,Weise and Meyer 1979,Sutherland et al. 2000,Inferred from Class:  Aves
2000,Parus palustris,Parus palustris,Aves,Paridae,Dispersal,Distance,4600,m,Maximum,Flying,14,g,Metastudy,Sutherland et al. 2000,Nilsson 1989,Sutherland et al. 2000,Inferred from Class:  Aves
2002,Parus palustris,Parus palustris,Aves,Paridae,Dispersal,Distance,7300,m,Maximum,Flying,14,g,Metastudy,Sutherland et al. 2000,Nilsson 1989,Sutherland et al. 2000,Inferred from Class:  Aves
2004,Parus caeruleus,Parus caeruleus,Aves,Paridae,Dispersal,Distance,470000,m,Maximum,Flying,11,g,Metastudy,Sutherland et al. 2000,Berndt and Sternberg 1968,Sutherland et al. 2000,Inferred from Class:  Aves
2008,Vireo griseus,Vireo griseus,Aves,Vireonidae,Dispersal,Distance,20000,m,Maximum,Flying,11,g,Metastudy,Sutherland et al. 2000,Hopp et al. 1995,Sutherland et al. 2000,Inferred from Class:  Aves
2009,Lanius ludovicianus,Lanius ludovicianus,Aves,Laniidae,Dispersal,Distance,79700,m,Maximum,Flying,47,g,Metastudy,Sutherland et al. 2000,Collister and De Smet 1997,Sutherland et al. 2000,Inferred from Class:  Aves
2011,Turdus merula,Turdus merula,Aves,Turdidae,Dispersal,Distance,355000,m,Maximum,Flying,95,g,Metastudy,Sutherland et al. 2000,Greenwood and Harvey 1977,Sutherland et al. 2000,Inferred from Class:  Aves
2013,Turdus merula,Turdus merula,Aves,Turdidae,Dispersal,Distance,355000,m,Maximum,Flying,95,g,Metastudy,Sutherland et al. 2000,Paradis et al. 1998,Sutherland et al. 2000,Inferred from Class:  Aves
2015,Toxostoma curvirostre,Toxostoma curvirostre,Aves,Mimidae,Dispersal,Distance,30000,m,Maximum,Flying,79,g,Metastudy,Sutherland et al. 2000,Tweit 1996,Sutherland et al. 2000,Inferred from Class:  Aves
2016,Hylocichla mustelina,Hylocichla mustelina,Aves,Turdidae,Dispersal,Distance,4680,m,Maximum,Flying,44,g,Metastudy,Sutherland et al. 2000,Anders et al. 1998,Sutherland et al. 2000,Inferred from Class:  Aves
2017,Hylocichla mustelina,Hylocichla mustelina,Aves,Turdidae,Dispersal,Distance,4680,m,Maximum,Flying,50,g,Metastudy,Sutherland et al. 2000,Anders et al. 1998,Sutherland et al. 2000,Inferred from Class:  Aves
2018,Acrocephalus scirpaceus,Acrocephalus scirpaceus,Aves,Acrocephalidae,Dispersal,Distance,271000,m,Maximum,Flying,12,g,Metastudy,Sutherland et al. 2000,Paradis et al. 1998,Sutherland et al. 2000,Inferred from Class:  Aves
2020,Motacilla alba,Motacilla alba,Aves,Motacillidae,Dispersal,Distance,100000,m,Maximum,Flying,240,g,Metastudy,Sutherland et al. 2000,Badyaev et al. 1996,Sutherland et al. 2000,Inferred from Class:  Aves
2021,Seiurus motacilla,Seiurus motacilla,Aves,Parulidae,Dispersal,Distance,4000,m,Maximum,Flying,20,g,Metastudy,Sutherland et al. 2000,Robinson 1995,Sutherland et al. 2000,Inferred from Class:  Aves
2022,Seiurus motacilla,Seiurus motacilla,Aves,Parulidae,Dispersal,Distance,4000,m,Maximum,Flying,21,g,Metastudy,Sutherland et al. 2000,Robinson 1995,Sutherland et al. 2000,Inferred from Class:  Aves
2034,Passerina cyanea,Passerina cyanea,Aves,Cardinalidae,Dispersal,Distance,470000,m,Maximum,Flying,108,g,Metastudy,Sutherland et al. 2000,Payne 1991,Sutherland et al. 2000,Inferred from Class:  Aves
2035,Carduelis chloris,Carduelis chloris,Aves,Fringillidae,Dispersal,Distance,150000,m,Maximum,Flying,30,g,Metastudy,Sutherland et al. 2000,Greenwood and Harvey 1977,Sutherland et al. 2000,Inferred from Class:  Aves
2037,Carduelis chloris,Carduelis chloris,Aves,Fringillidae,Dispersal,Distance,37500,m,Maximum,Flying,30,g,Metastudy,Sutherland et al. 2000,Greenwood and Harvey 1977,Sutherland et al. 2000,Inferred from Class:  Aves
2041,Quiscalus major,Quiscalus major,Aves,Icteridae,Dispersal,Distance,35000,m,Maximum,Flying,210,g,Metastudy,Sutherland et al. 2000,Post et al. 1996,Sutherland et al. 2000,Inferred from Class:  Aves
2042,Quiscalus major,Quiscalus major,Aves,Icteridae,Dispersal,Distance,7000,m,Maximum,Flying,120,g,Metastudy,Sutherland et al. 2000,Post et al. 1996,Sutherland et al. 2000,Inferred from Class:  Aves
2043,Molothrus ater,Molothrus ater,Aves,Icteridae,Dispersal,Distance,40000,m,Maximum,Flying,50,g,Metastudy,Sutherland et al. 2000,Lowther 1993,Sutherland et al. 2000,Inferred from Class:  Aves
2044,Molothrus ater,Molothrus ater,Aves,Icteridae,Dispersal,Distance,40000,m,Maximum,Flying,40,g,Metastudy,Sutherland et al. 2000,Lowther 1993,Sutherland et al. 2000,Inferred from Class:  Aves
2045,Didelphis virginianus,Didelphis virginiana,Mammalia,Didelphidae,Dispersal,Distance,4300,m,Maximum,Running,2839,g,Metastudy,Sutherland et al. 2000,VanDruff 1969,Sutherland et al. 2000,Inferred from Class:  Mammalia
2046,Didelphis virginianus,Didelphis virginiana,Mammalia,Didelphidae,Dispersal,Distance,5150,m,Maximum,Running,1990,g,Metastudy,Sutherland et al. 2000,VanDruff 1969,Sutherland et al. 2000,Inferred from Class:  Mammalia
2047,Phascogale tapotafa,Phascogale tapoatafa,Mammalia,Dasyuridae,Dispersal,Distance,6800,m,Maximum,Running,199,g,Metastudy,Sutherland et al. 2000,Soderquist and Lill 1995,Sutherland et al. 2000,Inferred from Class:  Mammalia
2053,Ursus americanus,Ursus americanus,Mammalia,Ursidae,Dispersal,Distance,225000,m,Maximum,Running,130000,g,Metastudy,Sutherland et al. 2000,Rogers 1987,Sutherland et al. 2000,Inferred from Class:  Mammalia
2054,Ursus americanus,Ursus americanus,Mammalia,Ursidae,Dispersal,Distance,28800,m,Maximum,Running,78900,g,Metastudy,Sutherland et al. 2000,Rogers 1987,Sutherland et al. 2000,Inferred from Class:  Mammalia
2055,Ursus arctos,Ursus arctos,Mammalia,Ursidae,Dispersal,Distance,134000,m,Maximum,Running,331000,g,Metastudy,Sutherland et al. 2000,Glenn and Miller 1980,Sutherland et al. 2000,Inferred from Class:  Mammalia
2057,Ursus arctos,Ursus arctos,Mammalia,Ursidae,Dispersal,Distance,82000,m,Maximum,Running,331000,g,Metastudy,Sutherland et al. 2000,Glenn and Miller 1980,Sutherland et al. 2000,Inferred from Class:  Mammalia
2061,Martes americana,Martes americana,Mammalia,Mustelidae,Dispersal,Distance,61000,m,Maximum,Running,1040,g,Metastudy,Sutherland et al. 2000,Lofroth 1993,Sutherland et al. 2000,Inferred from Class:  Mammalia
2062,Martes pennanti,Martes pennanti,Mammalia,Mustelidae,Dispersal,Distance,23000,m,Maximum,Running,3700,g,Metastudy,Sutherland et al. 2000,Arthur et al. 1993,Sutherland et al. 2000,Inferred from Class:  Mammalia
2063,Martes pennanti,Martes pennanti,Mammalia,Mustelidae,Dispersal,Distance,22600,m,Maximum,Running,2100,g,Metastudy,Sutherland et al. 2000,Arthur et al. 1993,Sutherland et al. 2000,Inferred from Class:  Mammalia
2064,Mustela erminea,Mustela erminea,Mammalia,Mustelidae,Dispersal,Distance,5600,m,Maximum,Running,80,g,Metastudy,Sutherland et al. 2000,Erlinge 1977,Sutherland et al. 2000,Inferred from Class:  Mammalia
2065,Mustela erminea,Mustela erminea,Mammalia,Mustelidae,Dispersal,Distance,1000,m,Maximum,Running,54,g,Metastudy,Sutherland et al. 2000,Erlinge 1977,Sutherland et al. 2000,Inferred from Class:  Mammalia
2068,Lutra canadensis,Lutra canadensis,Mammalia,Mustelidae,Dispersal,Distance,42000,m,Maximum,Running,9070,g,Metastudy,Sutherland et al. 2000,Melquist and Hornocker 1983,Sutherland et al. 2000,Inferred from Class:  Mammalia
2069,Gulo gulo,Gulo gulo,Mammalia,Mustelidae,Dispersal,Distance,300000,m,Maximum,Running,14400,g,Metastudy,Sutherland et al. 2000,Pasitschniak-Arts and Lariviere 1995,Sutherland et al. 2000,Inferred from Class:  Mammalia
2070,Taxidea taxus,Taxidea taxus,Mammalia,Mustelidae,Dispersal,Distance,110000,m,Maximum,Running,7800,g,Metastudy,Sutherland et al. 2000,Lindzey 1978,Sutherland et al. 2000,Inferred from Class:  Mammalia
2071,Taxidea taxus,Taxidea taxus,Mammalia,Mustelidae,Dispersal,Distance,52000,m,Maximum,Running,6150,g,Metastudy,Sutherland et al. 2000,Lindzey 1978,Sutherland et al. 2000,Inferred from Class:  Mammalia
2072,Meles meles,Meles meles,Mammalia,Mustelidae,Dispersal,Distance,8300,m,Maximum,Running,11600,g,Metastudy,Sutherland et al. 2000,Cheesman et al. 1988,Sutherland et al. 2000,Inferred from Class:  Mammalia
2073,Meles meles,Meles meles,Mammalia,Mustelidae,Dispersal,Distance,7800,m,Maximum,Running,10100,g,Metastudy,Sutherland et al. 2000,Cheesman et al. 1988,Sutherland et al. 2000,Inferred from Class:  Mammalia
2074,Mephitis mephitis,Mephitis mephitis,Mammalia,Mephitidae,Dispersal,Distance,10100,m,Maximum,Running,3176,g,Metastudy,Sutherland et al. 2000,Bjorge et al. 1981,Sutherland et al. 2000,Inferred from Class:  Mammalia
2075,Mephitis mephitis,Mephitis mephitis,Mammalia,Mephitidae,Dispersal,Distance,21700,m,Maximum,Running,2642,g,Metastudy,Sutherland et al. 2000,Bjorge et al. 1981,Sutherland et al. 2000,Inferred from Class:  Mammalia
2077,Canis latrans,Canis latrans,Mammalia,Canidae,Dispersal,Distance,176000,m,Maximum,Running,14060,g,Metastudy,Sutherland et al. 2000,Andrews and Boggess 1978,Sutherland et al. 2000,Inferred from Class:  Mammalia
2079,Canis latrans,Canis latrans,Mammalia,Canidae,Dispersal,Distance,232200,m,Maximum,Running,14060,g,Metastudy,Sutherland et al. 2000,Andrews and Boggess 1978,Sutherland et al. 2000,Inferred from Class:  Mammalia
2081,Canis lupus,Canis lupus,Mammalia,Canidae,Dispersal,Distance,432000,m,Maximum,Running,42540,g,Metastudy,Sutherland et al. 2000,Mech 1987,Sutherland et al. 2000,Inferred from Class:  Mammalia
2082,Canis lupus,Canis lupus,Mammalia,Canidae,Dispersal,Distance,79000,m,Maximum,Running,40220,g,Metastudy,Sutherland et al. 2000,Mech 1987,Sutherland et al. 2000,Inferred from Class:  Mammalia
2087,Vulpes vulpes,Vulpes vulpes,Mammalia,Canidae,Dispersal,Distance,153000,m,Maximum,Running,5200,g,Metastudy,Sutherland et al. 2000,Allen and Sargent 1993,Sutherland et al. 2000,Inferred from Class:  Mammalia
2088,Vulpes vulpes,Vulpes vulpes,Mammalia,Canidae,Dispersal,Distance,302000,m,Maximum,Running,5200,g,Metastudy,Sutherland et al. 2000,Allen and Sargent 1993,Sutherland et al. 2000,Inferred from Class:  Mammalia
2095,Urocyon cinereoargente us,Urocyon cinereoargenteus,Mammalia,Canidae,Dispersal,Distance,83680,m,Maximum,Running,3900,g,Metastudy,Sutherland et al. 2000,Sullivan 1956,Sutherland et al. 2000,Inferred from Class:  Mammalia
2098,Lynx lynx,Lynx lynx,Mammalia,Felidae,Dispersal,Distance,9700,m,Maximum,Running,10149,g,Metastudy,Sutherland et al. 2000,Saunders 1963,Sutherland et al. 2000,Inferred from Class:  Mammalia
2099,Lynx rufus,Lynx rufus,Mammalia,Felidae,Dispersal,Distance,56000,m,Maximum,Running,8200,g,Metastudy,Sutherland et al. 2000,Robinson and Grant 1958,Sutherland et al. 2000,Inferred from Class:  Mammalia
2100,Lynx rufus,Lynx rufus,Mammalia,Felidae,Dispersal,Distance,182000,m,Maximum,Running,9600,g,Metastudy,Sutherland et al. 2000,Lariviere and Walton 1997,Sutherland et al. 2000,Inferred from Class:  Mammalia
2103,Marmota flaviventris,Marmota flaviventris,Mammalia,Sciuridae,Dispersal,Distance,1400,m,Maximum,Running,5448,g,Metastudy,Sutherland et al. 2000,Armitage and Downhower 1974,Sutherland et al. 2000,Inferred from Class:  Mammalia
2104,Marmota monax,Marmota monax,Mammalia,Sciuridae,Dispersal,Distance,690,m,Maximum,Running,3511,g,Metastudy,Sutherland et al. 2000,Swihart 1992,Sutherland et al. 2000,Inferred from Class:  Mammalia
2105,Marmota monax,Marmota monax,Mammalia,Sciuridae,Dispersal,Distance,770,m,Maximum,Running,3486,g,Metastudy,Sutherland et al. 2000,Swihart 1992,Sutherland et al. 2000,Inferred from Class:  Mammalia
2106,Spermophilus richardsonii,Spermophilus richardsonii,Mammalia,Sciuridae,Dispersal,Distance,980,m,Maximum,Running,405,g,Metastudy,Sutherland et al. 2000,Mitchener and Mitchener 1977,Sutherland et al. 2000,Inferred from Class:  Mammalia
2108,Spermophilus richardsonii,Spermophilus richardsonii,Mammalia,Sciuridae,Dispersal,Distance,530,m,Maximum,Running,405,g,Metastudy,Sutherland et al. 2000,Mitchener and Mitchener 1977,Sutherland et al. 2000,Inferred from Class:  Mammalia
2109,Spermophilus beecheyi,Spermophilus beecheyi,Mammalia,Sciuridae,Dispersal,Distance,1440,m,Maximum,Running,475,g,Metastudy,Sutherland et al. 2000,Evans and Holdenried 1943,Sutherland et al. 2000,Inferred from Class:  Mammalia
2110,Spermophilus beecheyi,Spermophilus beecheyi,Mammalia,Sciuridae,Dispersal,Distance,1310,m,Maximum,Running,475,g,Metastudy,Sutherland et al. 2000,Evans and Holdenried 1943,Sutherland et al. 2000,Inferred from Class:  Mammalia
2111,Spermophilus beldingi,Spermophilus beldingi,Mammalia,Sciuridae,Dispersal,Distance,330,m,Maximum,Running,400,g,Metastudy,Sutherland et al. 2000,Holekamp 1984,Sutherland et al. 2000,Inferred from Class:  Mammalia
2112,Spermophilus leucopus,Spermophilus leucurus,Mammalia,Sciuridae,Dispersal,Distance,520,m,Maximum,Running,192,g,Metastudy,Sutherland et al. 2000,Allred and Beck 1963,Sutherland et al. 2000,Inferred from Class:  Mammalia
2113,Spermophilus leucopus,Spermophilus leucurus,Mammalia,Sciuridae,Dispersal,Distance,320,m,Maximum,Running,192,g,Metastudy,Sutherland et al. 2000,Allred and Beck 1963,Sutherland et al. 2000,Inferred from Class:  Mammalia
2114,Spermophilus tridecemliniatu s,Spermophilus tridecemlineatus,Mammalia,Sciuridae,Dispersal,Distance,240,m,Maximum,Running,140,g,Metastudy,Sutherland et al. 2000,Rongstad 1965,Sutherland et al. 2000,Inferred from Class:  Mammalia
2121,Perognathus formosa,Perognathus formosus,Mammalia,Heteromyidae,Dispersal,Distance,850,m,Maximum,Running,23,g,Metastudy,Sutherland et al. 2000,Allred and Beck 1963,Sutherland et al. 2000,Inferred from Class:  Mammalia
2122,Dipodomys merriami,Dipodomys merriami,Mammalia,Heteromyidae,Dispersal,Distance,250,m,Maximum,Running,44,g,Metastudy,Sutherland et al. 2000,Jones 1989,Sutherland et al. 2000,Inferred from Class:  Mammalia
2124,Dipodomys merriami,Dipodomys merriami,Mammalia,Heteromyidae,Dispersal,Distance,160,m,Maximum,Running,42.6,g,Metastudy,Sutherland et al. 2000,Jones 1989,Sutherland et al. 2000,Inferred from Class:  Mammalia
2126,Dipodomys microps,Dipodomys microps,Mammalia,Heteromyidae,Dispersal,Distance,410,m,Maximum,Running,65,g,Metastudy,Sutherland et al. 2000,Allred and Beck 1963,Sutherland et al. 2000,Inferred from Class:  Mammalia
2127,Dipodomys microps,Dipodomys microps,Mammalia,Heteromyidae,Dispersal,Distance,430,m,Maximum,Running,65,g,Metastudy,Sutherland et al. 2000,Allred and Beck 1963,Sutherland et al. 2000,Inferred from Class:  Mammalia
2128,Dipodomys spectabilis,Dipodomys spectabilis,Mammalia,Heteromyidae,Dispersal,Distance,900,m,Maximum,Running,115,g,Metastudy,Sutherland et al. 2000,Jones 1987,Sutherland et al. 2000,Inferred from Class:  Mammalia
2129,Dipodomys spectabilis,Dipodomys spectabilis,Mammalia,Heteromyidae,Dispersal,Distance,2000,m,Maximum,Running,115,g,Metastudy,Sutherland et al. 2000,Jones 1987,Sutherland et al. 2000,Inferred from Class:  Mammalia
2134,Neotoma cinerea,Neotoma cinerea,Mammalia,Cricetidae,Dispersal,Distance,2200,m,Maximum,Running,420,g,Metastudy,Sutherland et al. 2000,Smith 1997,Sutherland et al. 2000,Inferred from Class:  Mammalia
2135,Clethrionomys glareolus,Clethrionomys glareolus,Mammalia,Cricetidae,Dispersal,Distance,400,m,Maximum,Running,23,g,Metastudy,Sutherland et al. 2000,Dickman and Doncaster 1989,Sutherland et al. 2000,Inferred from Class:  Mammalia
2136,Onychomys torridus,Onychomys torridus,Mammalia,Cricetidae,Dispersal,Distance,330,m,Maximum,Running,26800,g,Metastudy,Sutherland et al. 2000,Allred and Beck 1963,Sutherland et al. 2000,Inferred from Class:  Mammalia
2137,Onychomys torridus,Onychomys torridus,Mammalia,Cricetidae,Dispersal,Distance,330,m,Maximum,Running,26800,g,Metastudy,Sutherland et al. 2000,Allred and Beck 1963,Sutherland et al. 2000,Inferred from Class:  Mammalia
2138,Microtus agrestis,Microtus agrestis,Mammalia,Cricetidae,Dispersal,Distance,160,m,Maximum,Running,23,g,Metastudy,Sutherland et al. 2000,Sandell et al. 1990,Sutherland et al. 2000,Inferred from Class:  Mammalia
