par_name,par_val_conv
a1,2897.74381972416
b1,0.98
a2,2004.74892
b2,1
a3,4168.693835
b3,1.02
a4,148.68
b4,0.648
a5,64.96000000000001
b5,0.735
a6,1.5746293955633137
b6,0.95
a7,0.030640969375285564
b7,0.69
a8,0.09758515981108232
b8,0.68
a9,0.015184226910631734
b9,0.62
v_0_fly,17028.309434971383
v_0_run,156.1207151863781
v_0_swim,217.45385329531234
c,0.27
k,1.7466723247996435e-6
d,0.24
